date,deaths,covid_deaths
03/01/2020,79,0
10/01/2020,236,0
17/01/2020,-226,0
24/01/2020,-904,0
31/01/2020,-594,0
07/02/2020,-939,0
14/02/2020,-683,0
21/02/2020,-707,0
28/02/2020,-367,0
06/03/2020,-603,0
13/03/2020,-186,5
20/03/2020,72,103
27/03/2020,1011,539
03/04/2020,6082,3475
10/04/2020,7996,6213
17/04/2020,11854,8758
24/04/2020,11539,8237
01/05/2020,8012,6035
08/05/2020,3081,3930
15/05/2020,4385,3810
22/05/2020,2348,2589
29/05/2020,1653,1822
05/06/2020,732,1588
12/06/2020,559,1114
19/06/2020,-65,783
26/06/2020,-314,606
03/07/2020,-43,532
10/07/2020,-560,366
17/07/2020,-270,295
